id,speed(m/s)
2022_14_57_38-Jan-20.wav,13.36
2022_14_57_42-Jan-20.wav,13.7
2022_14_57_45-Jan-20.wav,14.48
2022_14_57_48-Jan-20.wav,14.33
2022_14_57_51-Jan-20.wav,14.41
2022_14_57_54-Jan-20.wav,14.05
2022_14_57_58-Jan-20.wav,13.74
2022_14_58_01-Jan-20.wav,13.56
2022_14_58_04-Jan-20.wav,13.66
2022_14_58_07-Jan-20.wav,14.89
2022_14_58_11-Jan-20.wav,16.2
2022_14_58_14-Jan-20.wav,15.81
2022_14_58_17-Jan-20.wav,13.58
2022_14_58_20-Jan-20.wav,9.94
2022_14_58_23-Jan-20.wav,7.1
2022_14_58_27-Jan-20.wav,6.97
2022_14_58_30-Jan-20.wav,5.83
2022_14_58_33-Jan-20.wav,9.32
2022_14_58_36-Jan-20.wav,12.48
2022_14_58_40-Jan-20.wav,16.29
2022_14_58_43-Jan-20.wav,15.89
2022_14_58_46-Jan-20.wav,16.02
2022_14_58_49-Jan-20.wav,15.82
2022_14_58_52-Jan-20.wav,15.32
2022_14_58_56-Jan-20.wav,15.86
2022_14_58_59-Jan-20.wav,15.97
2022_14_59_02-Jan-20.wav,16.28
2022_14_59_05-Jan-20.wav,16.12
2022_14_59_09-Jan-20.wav,16.2
2022_14_59_12-Jan-20.wav,16.43
2022_14_59_15-Jan-20.wav,16.57
2022_14_59_18-Jan-20.wav,16.14
2022_14_59_21-Jan-20.wav,15.68
2022_14_59_25-Jan-20.wav,14.8
2022_14_59_28-Jan-20.wav,15.24
2022_14_59_31-Jan-20.wav,15.84
2022_14_59_34-Jan-20.wav,15.44
2022_14_59_38-Jan-20.wav,14.79
2022_14_59_41-Jan-20.wav,14.76
2022_14_59_44-Jan-20.wav,14.95
2022_14_59_47-Jan-20.wav,14.51
2022_14_59_50-Jan-20.wav,15.36
2022_14_59_54-Jan-20.wav,15.59
2022_14_59_57-Jan-20.wav,16.11
2022_15_00_00-Jan-20.wav,15.89
2022_15_00_03-Jan-20.wav,16.24
2022_15_00_07-Jan-20.wav,16.46
2022_15_00_10-Jan-20.wav,16.37
2022_15_00_13-Jan-20.wav,16.22
2022_15_00_16-Jan-20.wav,15.84
2022_15_00_19-Jan-20.wav,15.22
2022_15_00_23-Jan-20.wav,13.97
2022_15_00_26-Jan-20.wav,14.54
2022_15_00_29-Jan-20.wav,14.22
2022_15_00_32-Jan-20.wav,14.27
2022_15_00_36-Jan-20.wav,14.68
2022_15_00_39-Jan-20.wav,14.71
2022_15_00_42-Jan-20.wav,14.69
2022_15_00_45-Jan-20.wav,14.97
2022_15_00_48-Jan-20.wav,14.51
2022_15_00_52-Jan-20.wav,14.11
2022_15_00_55-Jan-20.wav,14.71
2022_15_00_58-Jan-20.wav,15.1
2022_15_01_01-Jan-20.wav,15.37
2022_15_01_04-Jan-20.wav,15.56
2022_15_01_08-Jan-20.wav,14.99
2022_15_01_11-Jan-20.wav,13.85
2022_15_01_14-Jan-20.wav,13.81
2022_15_01_17-Jan-20.wav,14.1
2022_15_01_21-Jan-20.wav,14.72
2022_15_01_24-Jan-20.wav,15.27
2022_15_01_27-Jan-20.wav,15.35
2022_15_01_30-Jan-20.wav,14.95
2022_15_01_34-Jan-20.wav,14.91
2022_15_01_37-Jan-20.wav,15.13
2022_15_01_40-Jan-20.wav,14.38
2022_15_01_43-Jan-20.wav,13.92
2022_15_01_46-Jan-20.wav,14.43
2022_15_01_50-Jan-20.wav,14.91
2022_15_01_53-Jan-20.wav,15.05
2022_15_01_56-Jan-20.wav,15.79
2022_15_01_59-Jan-20.wav,15.36
2022_15_02_03-Jan-20.wav,11.25
2022_15_02_06-Jan-20.wav,9.12
2022_15_02_09-Jan-20.wav,8.83
2022_15_02_12-Jan-20.wav,8.06
2022_15_02_15-Jan-20.wav,7.56
2022_15_02_19-Jan-20.wav,7.89
2022_15_02_22-Jan-20.wav,10.7
2022_15_02_25-Jan-20.wav,14.05
2022_15_02_28-Jan-20.wav,15.73
2022_15_02_32-Jan-20.wav,14.92
2022_15_02_35-Jan-20.wav,14.7
2022_15_02_38-Jan-20.wav,13.68
2022_15_02_41-Jan-20.wav,12.35
2022_15_02_44-Jan-20.wav,12.69
2022_15_02_48-Jan-20.wav,14.33
2022_15_02_51-Jan-20.wav,17.16
2022_15_02_54-Jan-20.wav,15.89
2022_15_02_57-Jan-20.wav,12.71
2022_15_03_01-Jan-20.wav,10.9
2022_15_03_04-Jan-20.wav,10.79
2022_15_03_07-Jan-20.wav,10.42
2022_15_03_10-Jan-20.wav,10.08
2022_15_03_13-Jan-20.wav,8.56
2022_15_03_17-Jan-20.wav,6.44
2022_15_03_20-Jan-20.wav,8.52
2022_15_03_23-Jan-20.wav,11.8
2022_15_03_26-Jan-20.wav,12.86
2022_15_03_30-Jan-20.wav,14.2
2022_15_03_33-Jan-20.wav,15.24
2022_15_03_36-Jan-20.wav,15.35
2022_15_03_39-Jan-20.wav,14.4
2022_15_03_42-Jan-20.wav,8.9
2022_15_03_46-Jan-20.wav,4.91
2022_15_03_49-Jan-20.wav,2.32
2022_15_03_52-Jan-20.wav,1.99
2022_15_03_55-Jan-20.wav,4.94
2022_15_03_59-Jan-20.wav,5.83
2022_15_04_02-Jan-20.wav,6.77
2022_15_04_05-Jan-20.wav,8.83
2022_15_04_08-Jan-20.wav,11.56
2022_15_04_11-Jan-20.wav,14.05
2022_15_04_15-Jan-20.wav,12.49
2022_15_04_18-Jan-20.wav,11.87
2022_15_04_21-Jan-20.wav,12.82
2022_15_04_24-Jan-20.wav,13.31
2022_15_04_28-Jan-20.wav,13.41
2022_15_04_31-Jan-20.wav,13.55
2022_15_04_34-Jan-20.wav,12.05
2022_15_04_37-Jan-20.wav,9.38
2022_15_04_40-Jan-20.wav,8.06
2022_15_04_44-Jan-20.wav,8.07
2022_15_04_47-Jan-20.wav,10.93
2022_15_04_50-Jan-20.wav,13.5
2022_15_04_53-Jan-20.wav,13.12
2022_15_04_57-Jan-20.wav,12.06
2022_15_05_00-Jan-20.wav,12.59
2022_15_05_03-Jan-20.wav,10.33
2022_15_05_06-Jan-20.wav,8.54
2022_15_05_09-Jan-20.wav,7.49
2022_15_05_13-Jan-20.wav,7.64
2022_15_05_16-Jan-20.wav,7.25
2022_15_05_19-Jan-20.wav,8.61
2022_15_05_22-Jan-20.wav,10.75
2022_15_05_26-Jan-20.wav,12.19
2022_15_05_29-Jan-20.wav,12.35
2022_15_05_32-Jan-20.wav,11.59
2022_15_05_35-Jan-20.wav,10.53
2022_15_05_38-Jan-20.wav,10.64
2022_15_05_42-Jan-20.wav,11.31
2022_15_05_45-Jan-20.wav,11.46
2022_15_05_48-Jan-20.wav,11.75
2022_15_05_51-Jan-20.wav,11.19
2022_15_05_55-Jan-20.wav,11.97
2022_15_05_58-Jan-20.wav,12.66
2022_15_06_01-Jan-20.wav,13.12
2022_15_06_04-Jan-20.wav,13.51
2022_15_06_07-Jan-20.wav,13.31
2022_15_06_11-Jan-20.wav,12.53
2022_15_06_14-Jan-20.wav,12.43
2022_15_06_17-Jan-20.wav,12.71
2022_15_06_20-Jan-20.wav,12.27
2022_15_06_24-Jan-20.wav,11.84
2022_15_06_27-Jan-20.wav,11.49
2022_15_06_30-Jan-20.wav,11.98
2022_15_06_33-Jan-20.wav,12.5
2022_15_06_36-Jan-20.wav,12.0
2022_15_06_40-Jan-20.wav,11.23
2022_15_06_43-Jan-20.wav,10.51
2022_15_06_46-Jan-20.wav,10.04
2022_15_06_49-Jan-20.wav,10.74
2022_15_06_53-Jan-20.wav,10.76
2022_15_06_56-Jan-20.wav,10.36
2022_15_06_59-Jan-20.wav,10.09
2022_15_07_02-Jan-20.wav,9.5
2022_15_07_05-Jan-20.wav,7.73
2022_15_07_09-Jan-20.wav,7.07
2022_15_07_12-Jan-20.wav,6.68
2022_15_07_15-Jan-20.wav,7.61
2022_15_07_18-Jan-20.wav,8.6
2022_15_07_21-Jan-20.wav,9.35
2022_15_07_25-Jan-20.wav,7.62
2022_15_07_28-Jan-20.wav,5.37
2022_15_07_31-Jan-20.wav,4.25
2022_15_07_34-Jan-20.wav,5.99
2022_15_07_38-Jan-20.wav,8.53
