Surface,ID,RMS,RMS_filt,Zero-Cross,Zero-Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet Asphalt,2021_14_58_33-Nov-10.wav,18.53852042529272,2028.059405228655,8463.0,9765.0,841.8954802682149,963.4317302695297,-1.1469026762723244e-09,-1.1332142917408179e-09,1409.466717085045,1543.3472381650977,2380.6701504670796,2028.0593785262608
Wet Asphalt,2021_14_58_43-Nov-10.wav,17.2244362038613,1988.3386891579182,8735.0,10141.0,876.1927925010543,908.2033999528297,-1.1430398386560972e-09,-1.1394345480215557e-09,1639.724384339249,1302.4929104197156,2369.924021325979,1988.3386845021491
Wet Asphalt,2021_14_58_53-Nov-10.wav,17.126001648430165,2066.533503715079,8764.0,10200.0,805.5716022237268,882.8381484685262,-1.1509937619388898e-09,-1.1422913855169679e-09,1391.361804172464,1258.3491461266206,2480.3193342615787,2066.5335035439757
Wet Asphalt,2021_14_59_04-Nov-10.wav,17.520390454158832,2028.4243112621982,8351.0,9916.0,800.5593852118255,915.0643183485336,-1.151558277906871e-09,-1.138661816517674e-09,1263.1979267300958,1320.9827433444907,2476.7227196515623,2028.424310926625
Wet Asphalt,2021_14_59_14-Nov-10.wav,24.72304365445642,1553.8997506615237,7503.0,8617.0,804.4277887225584,901.8983491296189,-1.1511225873637003e-09,-1.1401446732735516e-09,1343.679921848137,1367.9752863641077,1820.286887381909,1553.8997123335118
Wet Asphalt,2021_14_59_24-Nov-10.wav,23.59639552190169,1517.0237512350277,8761.0,9614.0,885.618105679985,983.6588337246449,-1.1419782845015002e-09,-1.1309361535717597e-09,1382.8736389630294,1432.4779372548348,1736.1146685266272,1517.023747394747
Wet Asphalt,2021_14_59_55-Nov-10.wav,17.741343606986547,1999.4194597246942,9181.0,10807.0,1040.4088522073719,1161.723710410414,-1.1245445125991834e-09,-1.1108810629827072e-09,1628.6793948317488,1693.7051252542115,2342.3586776958728,1999.4194534563717
Wet Asphalt,2021_15_00_05-Nov-10.wav,14.67074926570662,2536.747064373764,9074.0,10963.0,968.2038337816383,1099.135308675848,-1.13267681927563e-09,-1.1179302693729477e-09,1558.5660490349737,1612.0719147104887,3141.3964363089212,2536.7470380580457
Wet Asphalt,2021_15_00_15-Nov-10.wav,12.248062274474687,3323.820725225971,9331.0,11211.0,803.9315489347739,890.9200460415567,-1.1511784778575648e-09,-1.1413811375726494e-09,1360.2948179402579,1292.0665318293645,4054.334519408708,3323.8207144090607
Wet Asphalt,2021_15_00_25-Nov-10.wav,13.259175322449524,3169.8986605387595,9798.0,11338.0,797.5345880346396,882.9575177942091,-1.1518989547575278e-09,-1.1422779411887843e-09,1202.5567879628604,1169.9209233805395,3736.2724142935967,3169.89865229315
Wet Asphalt,2021_15_00_35-Nov-10.wav,9.741141856203267,3992.6039923931125,8940.0,10657.0,756.5737123276512,861.9019922960784,-1.1565122961879113e-09,-1.1446493828741107e-09,1172.8366276826864,1207.8937848715686,4893.884082822602,3992.603984415329
Wet Asphalt,2021_15_00_45-Nov-10.wav,8.459695327770229,4009.7433928934624,8336.0,9837.0,781.8528786571472,884.9801913014276,-1.1536651542911495e-09,-1.1420501315209016e-09,1259.58306503652,1289.832453496175,4816.476985846608,4009.7433744691452
Wet Asphalt,2021_15_00_56-Nov-10.wav,16.803849005913836,2431.630517615144,8092.0,9288.0,852.2121346364795,871.8744191501504,-1.1457407321439684e-09,-1.143526208401561e-09,1659.3035774237,1284.077197140678,2846.5824529448782,2431.630510736509
Wet Asphalt,2021_15_01_06-Nov-10.wav,15.384068204581597,2202.043376345001,7564.0,9063.0,862.1518003012475,936.6158977580202,-1.1446212474985846e-09,-1.1362345052733733e-09,1547.6082559246756,1409.2691945545876,2629.905177763147,2202.0433720499605
Wet Asphalt,2021_15_01_16-Nov-10.wav,18.7696711575584,1772.9687491603731,7499.0,8707.0,798.4181972059584,887.5654558589316,-1.1517994356254792e-09,-1.1417589583492892e-09,1400.668029426431,1348.5443953668428,2116.6300183228286,1772.9687355683
Wet Asphalt,2021_15_01_26-Nov-10.wav,18.22465629002651,1768.4906856515768,8101.0,9684.0,950.4816530239275,1083.3849635304532,-1.13467283301594e-09,-1.1197041992157048e-09,1577.1536200451783,1610.0501271562669,2193.9225619555755,1768.4906853858768
Wet Asphalt,2021_15_01_36-Nov-10.wav,20.453047244663466,1669.7906364812115,8145.0,10132.0,1031.939983673328,1097.209008280136,-1.125498344308155e-09,-1.118147224730213e-09,1909.700469075933,1633.6239146267244,2104.7003978618054,1669.7906298739153
Wet Asphalt,2021_15_01_47-Nov-10.wav,18.38628074210767,1987.637006207836,8209.0,10162.0,1037.1246952928052,1178.5019392236607,-1.124914400617844e-09,-1.1089913646601835e-09,1759.382465409359,1771.1014492958366,2503.364884572984,1987.6369849487403
Wet Asphalt,2021_15_01_57-Nov-10.wav,16.461115425226815,1959.3491993131738,9400.0,11808.0,1150.7329606298188,1308.4597620386487,-1.1121189291278676e-09,-1.094354475242008e-09,1779.8745939462863,1836.8441263539726,2475.1193139182787,1959.3491991212886
Wet Asphalt,2021_15_02_07-Nov-10.wav,14.286241481205495,2600.2300471874782,7274.0,9281.0,728.9213148859611,882.2086845882075,-1.1596267303538149e-09,-1.1423622807736703e-09,1209.5597777246012,1438.6379897519982,3355.2271611034917,2600.230026787727
Wet Asphalt,2021_15_02_17-Nov-10.wav,13.454160385439591,2802.739363248258,6670.0,8329.0,717.6706905746431,823.0992951331283,-1.1608938656471217e-09,-1.1490196529755849e-09,1281.8096254377435,1273.1970383182681,3510.0521647302953,2802.739323288761
Wet Asphalt,2021_15_02_27-Nov-10.wav,14.189058136525269,2574.3880499098746,7373.0,9516.0,920.2395026108366,1056.9941058240497,-1.1380789458745282e-09,-1.122676548686728e-09,1562.493489130437,1601.4334667633962,3282.4812112403697,2574.3880334771043
Wet Asphalt,2021_15_02_38-Nov-10.wav,14.674217482176797,2270.700834761632,7365.0,9445.0,966.9061448022943,1114.0015751896,-1.132822975387501e-09,-1.116255911536616e-09,1781.6622435167246,1839.0858677741815,2926.104473212277,2270.7008237258387
Wet Asphalt,2021_15_02_48-Nov-10.wav,16.62647517456518,1909.397056282871,7683.0,9869.0,980.3563544095618,1148.7824921913705,-1.1313081052057103e-09,-1.1123386064834037e-09,1689.392672803481,1768.3984289084237,2503.117191028923,1909.3970559659754
Wet Asphalt,2021_15_02_58-Nov-10.wav,16.095950265278496,2389.765453497425,7565.0,9369.0,947.5094660355718,1056.4694863075056,-1.1350075844863511e-09,-1.1227356355326287e-09,1714.4535829097865,1649.4034897931085,2953.3473528497316,2389.765449995554
Wet Asphalt,2021_15_03_08-Nov-10.wav,14.35658319371645,2689.607043144439,8722.0,10506.0,1074.6248167228923,1199.982366632094,-1.1206908370135062e-09,-1.1065720671233206e-09,1670.6138151100595,1706.8679447753843,3235.3044757919674,2689.606959296966
Wet Asphalt,2021_15_03_18-Nov-10.wav,13.586861857940493,2629.4146076129905,8180.0,9706.0,932.3515646216625,1062.7261537514244,-1.1367147885776573e-09,-1.122030959603783e-09,1483.0186753525584,1573.5996881126591,3191.8417162074534,2629.414585860781
Wet Asphalt,2021_15_03_29-Nov-10.wav,16.527681589538663,2008.0935002007218,7775.0,10584.0,1076.2648940581116,1233.1012450279843,-1.1205061183865482e-09,-1.102841954151016e-09,1837.1040728420915,1800.4444371942193,2726.3157415031455,2008.0934930241597
Wet Asphalt,2021_15_03_39-Nov-10.wav,14.83115127228759,2239.53125104323,7857.0,10045.0,938.6214724710808,1075.6639912110456,-1.1360086214084462e-09,-1.1205737968712524e-09,1556.1754835976092,1576.182519389975,2867.3914779025313,2239.53125101513
Wet Asphalt,2021_15_03_49-Nov-10.wav,15.937056326287319,2462.7716307779006,7651.0,9442.0,849.9274196584753,947.3375132077506,-1.1459980550181189e-09,-1.1350269511891125e-09,1472.5433375706823,1393.9860939615678,3064.445723348139,2462.771627654626
Wet Asphalt,2021_15_03_59-Nov-10.wav,14.67616486009646,2723.5616087792437,7972.0,10042.0,898.0736675600428,1015.506274450666,-1.1405754395020174e-09,-1.127349240078893e-09,1504.8541264478868,1479.0686416850695,3436.6142102272597,2723.5616003018517
Wet Asphalt,2021_15_04_09-Nov-10.wav,10.471906127326791,3360.630989020669,7731.0,9397.0,1030.9725396197593,1137.0786703134638,-1.1256073055951609e-09,-1.1136567845113688e-09,1657.2636213386745,1626.9397884531681,4008.2601577306696,3360.630985925545
