Label,RMS,RMS_filt,Spectral_centroid,Spectral_centroid_filt,Zero-Cross,Zero-Cross_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet gravel,1713.9055375711619,1096.151625961728,2122,3212,903.6198186505064,1125.51234126398,-4.423680002452062e-08,-3.8937771645455554e-08,1218.8046685730808,1274.4804636773276,1713.902266761138,1096.1514314115154
Wet gravel,1903.570625748654,1109.7100491443193,2144,3760,946.9516938784873,1184.6774252203325,-4.3201988964432946e-08,-3.7524846796786315e-08,1250.715471653943,1300.4526984795807,1903.5701543607397,1109.7096825163107
Wet gravel,1881.7119248093895,1212.9906110263578,2599,3931,1021.7169888620472,1227.6401122814439,-4.141651455898311e-08,-3.649885234101866e-08,1239.9430126267278,1267.2844396021032,1881.7117676995856,1212.9905365362229
Wet gravel,1323.9474055170897,926.2817333817924,3413,4828,1233.411795435742,1426.1150428982648,-3.636101843625535e-08,-3.1759060853301176e-08,1354.5139735349567,1361.1711399943288,1323.942337524724,926.2809288855469
Wet gravel,1513.8025835918538,1003.1463275131122,2894,4354,1162.9852835269648,1382.3476334284614,-3.8042878107990467e-08,-3.280427293222576e-08,1356.229445585158,1373.5066897700758,1513.8015970782556,1003.1462002862247
Wet gravel,1629.659442719453,995.2033014746816,2360,3685,1004.2548632946795,1249.6959485308485,-4.1833528606371575e-08,-3.597213561873779e-08,1289.5214636322344,1341.7770908993664,1629.659136863531,995.2029849564203
Wet gravel,1872.367586010629,1213.6755630404352,2043,2995,907.4799125305602,1106.593436120719,-4.4144616895610524e-08,-3.938957513154966e-08,1226.6514546202945,1262.3921127893313,1872.3669158549415,1213.6755496045798
Wet gravel,1651.1401156402526,1090.2306995852546,1927,3103,879.7470142703576,1069.450194759479,-4.480690786956341e-08,-4.027659506239487e-08,1161.2957659904291,1207.2993023274776,1651.140068213093,1090.2306694144918
Wet gravel,2054.3116324180096,1326.8709705594054,1711,3148,942.2249042130899,1123.5228159021153,-4.33148697063516e-08,-3.898528361759963e-08,1106.387142143642,1122.1534334004834,2054.2742400735406,1326.8709045166647
Wet gravel,1834.5063366385818,855.6134518279888,2069,4312,1020.610626701494,1326.9775436320585,-4.144293565878966e-08,-3.4126569302228373e-08,1296.0326759014447,1336.3398083394695,1834.4423346313004,855.6133928857907
Dry gravel,313.43942746266754,279.2284765454737,4742,5017,1447.3579462239318,1539.9294026231948,-3.125175782996979e-08,-2.904105343680926e-08,1193.9488610616875,1169.7004003302125,313.4392889643622,279.22847608752045
Dry gravel,932.9769607377976,831.4077288382048,5793,6901,1595.4850278909182,1694.3412567513492,-2.7714326283307163e-08,-2.5353534869478037e-08,1184.1460570684715,1152.3333213247672,932.9769341988323,831.4077166285281
Dry gravel,584.6771617615402,556.5023419698007,6153,6446,1442.5950341142704,1503.536201051425,-3.1365501214103784e-08,-2.991016162334233e-08,1145.4120414664264,1131.385940492051,584.6717147193339,556.5023408601731
Dry gravel,576.6146410841285,517.3989779753496,5631,6159,1334.824566576984,1417.3350958579722,-3.393917408590211e-08,-3.1968735284801704e-08,1126.2734208046245,1104.8943263343772,576.6144383965285,517.3989606530083
Dry gravel,990.7250117975036,861.4511565995228,5000,5749,1187.6981765708092,1283.945848943977,-3.745270805617558e-08,-3.515421173319311e-08,1049.4038571806766,1038.580331433637,990.7228723275388,861.451079327794
Dry gravel,1511.7706077123257,1274.9758191049755,5287,6017,1175.6086339659018,1279.232291500832,-3.7741419133947744e-08,-3.526677647563416e-08,1020.4465001236867,1002.1196480143502,1511.7651926422718,1274.9758073217479
Dry gravel,1790.662739706207,1570.0276095676431,5294,5970,1142.5541823440233,1228.4924990862708,-3.853079443662021e-08,-3.647849644161513e-08,972.1715634850535,955.9731596786614,1790.6620909981134,1570.0269782365217
Dry gravel,2209.113460343913,1968.2194027988046,5512,6101,1199.120607027075,1283.9005176068404,-3.7179928322849066e-08,-3.5155294293520614e-08,991.3307220692938,976.8684222671907,2209.113368116443,1968.2193947571398
